41165,AMITONE SYRUP,OTC,"2,000.00"
41031,AMITONE TABLETS,OTC,100
43315,AMITRIPTYLLINE 25MG,NGD,11
10075,AMLO DENK 10 MG,CGD,180
43128,AMLO DENK 5 MG,CGD,100
37014,AMLOC 10MG,CBD,450
37015,AMLOC 5MG,CBD,350
43126,AMLODIPINE 10MG,CGD,40
36593,AMLOMIDE EYE DROP,NGD,"1,000.00"
37802,AMLOPRESS AT TAB,CBD,180
36285,AMLOZAAR,CGD,200
36288,AMLOZAAR PLUS HCT TAB,CGD,230
36288,AMLOZAAR PLUS HCT TAB,CGD,230
36285,AMLOZAAR TAB,CGD,200
41078,AMODIAQUINE 200MG TABS (1,NGD,250
41079,AMOXYCILLIN  500MG,NGD,45
36629,AMOXYCILLIN 125MG/5ML  10,NGD,500
20137,AMOXYL 250MG,NGD,25
36154,AMPHOGEL SUSPENSION 250ML,NPD,"1,500.00"
37166,AMPHOTERICIN B INJECTION 10MG,SPE,"120,000.00"
37167,AMPHOTERICIN B TABLETS,SPE,"4,000.00"
41083,AMPHOTERICINE B INJ 50MG,SPE,"6,000.00"
41084,AMPICILLIN 1G VIAL (1),NGD,350
36156,AMPICILLIN 250MG,NGD,25
36480,AMPICILLIN SUSPENSION,NGD,750
36626,AMPICLOX 250MG/5ML SYRUP,NGD,"1,000.00"
36158,AMPICLOX 500MG,NGD,90
41086,AMPICLOX 500MG AMPS (1),NGD,55
36688,ANASTROZOLE TABS,CBD,"1,200.00"
2035,ANDROCUR 50MG,CBD,900
41099,ANETHAINE CREAM 25G (1),OTC,"1,100.00"
2370,ANETHAINE OITMENT 25G,OTC,110
41100,ANEXATE AMP 0.5MG 5ML (1),NBD,120
37769,ANGELIQ 0.5MG,CBD,660
41101,ANGISED 0.5MG (GLYCERYL T,CBD,65
41103,ANGISPRAY 20ML (1),CBD,"19,500.00"
36042,ANGIZAAR,CGD,"1,750.00"
37720,ANOMEX SUPPOSITORIES,NBD,"1,500.00"
37720,ANOMEX SUPPOSITORIES,NBD,300
36819,ANTAGIT DS GEL,OTC,700
43112,ANTALGIN SYRUP,OTC,700
23006,ANTHISAN 50MG TABLETS 100,NGD,30
23002,ANTHISAN CREAM,NBD,500
23003,ANTHISAN ELIXIR 100ML,NBD,400
41104,ANTI-D RHESUGAM IM,NBD,"75,000.00"
41107,ANTIFLAM TABS 200MG,NGD,8.5
36049,ANTIHISTAMINE CREAM,NBD,500
30001,ANTI-SNAKE VENOM SERUM,NGD,"20,000.00"
15006,ANTISTIN PRIVINE OPHTH. DROPS 10ML,NBD,"2,200.00"
36469,ANUSOL CREAM,NGD,"5,500.00"
11125,ANUSOL H.C. SUPPOSITORIES,NGD,"5,500.00"
41110,ANUSOL OINT 25G (1),NGD,"5,500.00"
11127,ANUSOL SUPPOSITORIES (PAC,NGD,"5,500.00"
6012,APIDRA INJECTION,CBD,"48,000.00"
37619,APRAZOLAM IMG,CGD,150
36638,APRESOLINE 25MG,CGD,165
36167,APRINOX (BENDROFLUAZIDE),CGD,90
37142,APROVEL 300MG,CBD,800
36644,AQUEOUS NASAL SPRAY,NPD,"2,500.00"
36169,ARALEN TABS 250MG,NBD,12
5110,ARAVA 100MG,CBD,"1,200.00"
41123,ARBITEL Am,CGD,"1,870.00"
41126,ARBITEL AV,CGD,"1,870.00"
41123,ARBITEL h TAB (TELMISARTAN + HCT),CGD,"3,800.00"
36289,ARBITEL H TAB (TELMISARTAN + HCT),CGD,178
11096,ARBITEL40 MG TAB,CGD,"3,800.00"
32202,ARCOXIA 90MG,CBD,800
41117,ARGYROL 1 %,OTC,"1,800.00"
37804,ARICEPT ( DONEPEZIL),CBD,"1,400.00"
42871,ARIMIDEX  IMG,CBD,"2,440.00"
41865,ARIPIPRAZOLE,CGD,30
41126,ARNITEL Av,CGD,"1,870.00"
10002,AROPAX (PAROXETINE( 20MG),CBD,600
41118,ARTANE 5MG (1),CBD,110
12302,ARTEMETER (ARTESIANE),NBD,800
12310,ARTEMETHER  SUPPOSITORY,NBD,330
36083,ARTEMETHER INJECTION,NBD,900
36260,ARTESAN 120MG INJECTION,NBD,"1,700.00"
36251,ARTESAN 30MG INJECTION,NBD,"1,465.00"
36259,ARTESAN 60MG INJECTION,NBD,"2,435.00"
12303,ARTESIANE SUPPOSITORY GEL,NBD,500
36260,ARTESUN 120MG INJECTION,NBD,"2,250.00"
36251,ARTESUN 30MG INJECTION,NBD,"1,200.00"
36259,ARTESUN 60MG INJECTION,NBD,"1,700.00"
2346,ARTHREXIN CAPS 25MG,NBD,60
36171,ARTHREXIN CAPS 50MG  ,NBD,100
41120,ARTHREXIN SUPP 100MG ,NBD,120
38501,ARTHROTEC  25MG,NBD,650
37825,ARTIFICIAL TEARS,NBD,"5,500.00"
16030,ASACOL 400MG,CBD,650
36404,ASACOL 800 MG TAB(MESACOL GENERIC),CBD,500
36173,ASCLOR EAR DROPS  5ML,NBD,300
36174,ASCLOR EYE OIT 3.5G,NGD,250
36175,ASCLOR SKIN OIT 15G,NBD,800
